$ uv run python SciCode/eval/inspect_ai/collect_scicode_results.py  [cwd=/Users/jmeloflorez-local/Research/UCSB-AI-Benchmarks]
scanned=53 kept=23 -> /Users/jmeloflorez-local/Research/UCSB-AI-Benchmarks/data/scicode_results.jsonl
skipped: mode=dummy x1, no-model-usage x16, status=cancelled x4, status=error x1, status=started x8
SERVICE   MODEL                         SPLIT         N RESOLVE SUBSTEP OUT/TASK MIN/TASK
AICOMMONS amazon-nova-micro             test         65    1.5%   11.7%     1898     3.10  2026-09-14T23-22-06-00-00_scicode_4f7pkvBufpUNcEu7gQFWbE.eval
CIT       Qwen3-Coder-Next              validation   15   33.3%   52.0%     1576     0.40 (rea 0)  2026-08-05T03-14-52-00-00_scicode_gUiiATPKeMXkbVLgVU4xQH.eval
CIT       gemma-4-31b                   test         65   16.9%   40.2%     2833    17.01 (rea 0)  2026-08-05T00-35-21-00-00_scicode_MMgTafAs3RDnVsWrKF5gA8.eval
CIT       gemma-4-31b                   validation   15   60.0%   72.0%     1600     0.77 (rea 0)  2026-08-05T03-02-39-00-00_scicode_fbapphYRAEoWHYcHAiiHxW.eval
CIT       gemma-4-31b                   test         65   15.4%   40.5%     2769     3.17  2026-09-14T23-19-02-00-00_scicode_G3gah84E6HmCJ3TrHBQwf6.eval
CIT       gpt-oss-120b                  validation   15   46.7%   68.0%     2774     0.54  2026-08-05T03-16-55-00-00_scicode_PByFiv7jaVgk7CHxqucdsg.eval
CIT       granite-4.1-30b               validation   15   40.0%   48.0%     1027     0.57 (rea 0)  2026-08-05T03-20-04-00-00_scicode_KQyBAWgTo9TQi7tLWJU34Y.eval
DREAMLAB  gemini-3.5-flash              validation   15   66.7%   80.0%     9678     0.99 (rea 8491)  2026-08-05T02-37-02-00-00_scicode_VEUw5HmwibTNqfjxFU8CeY.eval
DREAMLAB  gemini-3.6-flash              validation   15   66.7%   78.0%     9070     0.81 (rea 8055)  2026-08-05T02-44-11-00-00_scicode_22HtCAjnqFx8bpCzGVb9m4.eval
GRIT      deepseek-r1:latest            validation   15   26.7%   42.0%    19836    20.18 (rea 0)  2026-08-05T04-32-35-00-00_scicode_8UozQgeecMsp62zY9ym6b7.eval
GRIT      gemma3:latest                 validation    1    0.0%    0.0%     3173     0.49 (rea 0)  2026-08-05T04-29-05-00-00_scicode_grKxcZycZ8uBMGobPpdb55.eval
GRIT      gemma3:latest                 validation   15    0.0%    6.0%     1362     1.03 (rea 0)  2026-08-05T16-51-15-00-00_scicode_U7ZYu7ghwwNqZEwzFXqFXo.eval
GRIT      gemma3:latest                 validation   15    0.0%    6.0%     1151     0.93 (rea 0)  2026-08-06T16-39-42-00-00_scicode_KVxURW56tdxkVESzFPEHBF.eval
GRIT      gpt-oss:20b                   validation   15   40.0%   56.0%     3551     3.21 (rea 0)  2026-08-05T16-55-49-00-00_scicode_QQd5Pg56mFNNzJsWvzgtZC.eval
GRIT      llama3.1:8b                   validation   15    6.7%   14.0%     1875     1.71 (rea 0)  2026-08-05T21-10-35-00-00_scicode_UyT475zL7aB8uksAg3vvLY.eval
GRIT      llama3:latest                 validation   15    0.0%   12.0%      727    51.62 (rea 0)  2026-08-05T17-54-27-00-00_scicode_c8f78LEYxTRbBB9SrPs6vr.eval
GRIT      llama3:latest                 test         65    0.0%    8.2%     1175     1.63 (rea 0)  2026-09-14T23-46-41-00-00_scicode_NEpAL8XhWgSxWvAfdtiDHd.eval
GRIT      mistral:latest                validation   15    0.0%    8.0%     1206    24.92 (rea 0)  2026-08-05T22-05-28-00-00_scicode_849dNmoY3rS53D8Tgwv2zg.eval
GRIT      phi4:latest                   validation   15   33.3%   44.0%     2058     3.70 (rea 0)  2026-08-05T20-41-03-00-00_scicode_GkEDk6YGh4tGESnFztZknu.eval
GRIT      qwen3-coder-next:latest       validation   15   40.0%   48.0%     1617     2.71 (rea 0)  2026-08-05T22-40-24-00-00_scicode_CVH9RbH4sm3RPXX4Yg4MEV.eval
GRIT      qwen3-coder:latest            validation   15   26.7%   42.0%     1255     1.15 (rea 0)  2026-08-05T21-34-33-00-00_scicode_AsrmP5s57m4R4JGV2BZp3d.eval
GRIT      qwen3.5:latest                validation   15   26.7%   40.0%    24687    19.71 (rea 0)  2026-08-05T22-57-14-00-00_scicode_kpY6MjLB72NEQv5TBJiVSj.eval
GRIT      qwen3:latest                  validation   15   33.3%   46.0%    15890    19.78 (rea 0)  2026-08-05T19-49-04-00-00_scicode_fnrRFYnU9od7aa9VjmV4fo.eval
